Area,Y2017_664,664new
Caribbean,2810.0,-inf
United Arab Emirates,2905.0,-673.1210967671519
Saint Lucia,1303.0,-224.6585497835499
Jordan,2643.0,182.99563860255338
Saint Kitts and Nevis,1075.0,217.9
Trinidad and Tobago,2763.0,219.06829474857622
French Polynesia,1514.0,245.41582442067735
"China, Hong Kong SAR",2960.0,262.22345326874745
New Caledonia,1888.0,300.4087719298246
Antigua and Barbuda,1998.0,317.74285714285713
Bahamas,1291.0,325.4515412373375
"China, Macao SAR",2416.0,335.6587472962715
Guinea-Bissau,373.0,397.2825951825952
Gabon,1839.0,422.82520108754227
Venezuela (Bolivarian Republic of),2246.0,428.0221776669992
Yemen,2062.0,441.8384204905306
Kuwait,1830.0,441.9507220698135
Oman,1567.0,474.49598319601256
Cabo Verde,2248.0,485.4008251081327
Timor-Leste,718.0,501.6164308621015
Maldives,297.0,523.8397727272727
Botswana,2211.0,668.3869326168467
Polynesia,2524.0,714.4405197773476
Lebanon,2744.0,744.0869373382924
Montenegro,2963.0,768.9043937782485
Saudi Arabia,2471.0,777.2156274187249
Malta,2914.0,820.448628624298
Gambia,2181.0,832.82875878606
Iraq,2500.0,835.3824766120056
Liberia,1656.0,844.8649287748423
Cyprus,2193.0,869.1660070709735
Kiribati,1367.0,1012.3962264150944
Micronesia,1367.0,1012.3962264150944
Lesotho,1945.0,1024.7277355496713
Solomon Islands,1400.0,1110.2240952559753
Zimbabwe,2160.0,1146.6806999483106
Haiti,2154.0,1193.5372317884862
Benin,1856.0,1202.7221111878932
Algeria,3012.0,1219.4500355204004
Tajikistan,2099.0,1226.9658745397226
Jamaica,2572.0,1234.0046591656032
Sri Lanka,2602.0,1253.0501006424001
Ghana,2014.0,1259.6135339322134
Congo,2266.0,1263.644952549123
Mauritania,2097.0,1264.0169604762796
Afghanistan,1997.0,1283.5703923582148
Melanesia,2479.0,1287.6181417133798
Barbados,2223.0,1360.3382352941176
Kenya,2056.0,1367.822518281892
Namibia,2224.0,1392.0813383561185
Senegal,2607.0,1407.5654951551012
Suriname,2113.0,1409.9924161575032
Togo,1982.0,1483.5655135368597
Turkmenistan,2315.0,1485.6201681409398
Armenia,2966.0,1514.5667249845421
Vanuatu,1349.0,1580.074741200828
Israel,3392.0,1584.994568817867
Angola,2256.0,1588.6322193593678
Democratic People's Republic of Korea,2015.0,1631.687306338178
Japan,2619.0,1631.8186288931079
Panama,2586.0,1645.1513995846676
Sierra Leone,2243.0,1649.4618557738534
Mongolia,2015.0,1663.8403183891976
Central African Republic,1739.0,1679.0825806114851
Sudan,2174.0,1689.3949534641697
Slovenia,2984.0,1749.9971308431839
Mozambique,2295.0,1760.3653796930007
Uganda,1816.0,1788.963600228895
"China, Taiwan Province of",2878.0,1835.164573979708
Rwanda,2197.0,1840.363566611346
Republic of Korea,3166.0,1860.2359832228947
Middle Africa,2328.0,1863.8603913315033
Western Asia,3044.0,1871.0113804025113
Dominican Republic,2488.0,1899.1629276792935
Small Island Developing States,2769.0,1921.4242695724083
Eswatini,2256.0,1927.3822799443915
Tunisia,3182.0,1933.2005737046097
Philippines,2658.0,1944.7080147711185
Cuba,1617.0,1954.342846631981
Samoa,2117.0,1967.367105263158
Northern Africa,3153.0,1974.9592874853681
Chile,2911.0,1975.7786926191986
Chad,2072.0,1988.389559064637
Eastern Africa,2242.0,1990.8774236389256
Bosnia and Herzegovina,3178.0,2011.4438884907518
Net Food Importing Developing Countries,2519.0,2028.6329542005803
Bolivia (Plurinational State of),2349.0,2028.750917527578
Least Developed Countries,2422.0,2036.4413606145981
Azerbaijan,2998.0,2068.206121310487
Kyrgyzstan,2723.0,2071.7065089760263
Egypt,3092.0,2073.400439539045
Albania,3205.0,2100.7934695626845
Zambia,1985.0,2107.463239338552
Burkina Faso,2706.0,2111.841602216447
United Republic of Tanzania,2375.0,2125.9210323742977
Bangladesh,2552.0,2130.8312834861754
Portugal,3393.0,2132.449596576517
Guinea,2787.0,2141.47686283461
Ethiopia,2304.0,2150.3832943536527
El Salvador,2526.0,2181.2693003581635
Nigeria,2446.0,2189.264957157267
Western Africa,2590.0,2189.495112697644
Morocco,3303.0,2200.0774323942014
Pakistan,2323.0,2200.376214769408
Malaysia,2774.0,2200.6113763518847
Sweden,2819.0,2210.733468158383
Africa,2593.0,2239.0184699298934
Low Income Food Deficit Countries,2501.0,2254.527456413271
Norway,3028.0,2286.893688928121
Luxembourg,2738.0,2305.16731046731
Land Locked Developing Countries,2468.0,2341.035669503086
Cambodia,2400.0,2364.759286155985
Southern Asia,2527.0,2367.8157306285207
India,2504.0,2381.9315118399527
United Kingdom,3271.0,2384.568197585036
Nepal,2859.0,2409.2334063457397
Italy,3434.0,2411.571257368117
Uzbekistan,3020.0,2443.6164790723383
Peru,2761.0,2446.3825102512133
Southern Africa,2906.0,2454.1422011667896
Ecuador,2583.0,2480.0400345355897
Finland,3063.0,2496.148307385431
South Africa,2935.0,2511.1827668004976
Lao People's Democratic Republic,2559.0,2515.664234395992
Greece,3243.0,2528.1021799450427
C̫te d'Ivoire,2719.0,2533.888479706301
Fiji,2591.0,2536.3421083529925
Malawi,2628.0,2550.0274775005005
Mali,2822.0,2561.2220579922778
Myanmar,2591.0,2572.2873677926427
Switzerland,3289.0,2573.7586789176858
Croatia,2981.0,2576.9468469361823
Mexico,3255.0,2578.7882680491903
Niger,2572.0,2579.0175397317016
Nicaragua,2498.0,2607.2409366370825
Colombia,3086.0,2633.1875855655203
Asia,2829.0,2665.3185231472244
Central America,3088.0,2705.780052814376
Central Asia,2914.0,2753.5951404342695
South-Eastern Asia,2827.0,2773.9329863724765
Southern Europe,3325.0,2791.19572030903
Iran (Islamic Republic of),2916.0,2791.877895548028
Guyana,2700.0,2825.1429331284235
Eastern Asia,3145.0,2863.7183055036494
Indonesia,2849.0,2870.0824079350277
Northern Europe,3359.0,2934.962583975263
World,2913.0,2952.3625893527787
"China, mainland",3156.0,3001.9539802514732
China,3190.0,3005.83307565903
Belgium,3650.0,3129.7571275442574
Austria,3465.0,3159.552010589986
Guatemala,2550.0,3160.758714737379
Costa Rica,2838.0,3286.886447487957
Turkey,3415.0,3306.0244523176607
Germany,3363.0,3383.3216621438064
Kazakhstan,3088.0,3388.3665655155432
Mauritius,2475.0,3466.2868924739973
European Union,3440.0,3523.612907964039
Belarus,3162.0,3568.2385643657053
Viet Nam,2924.0,3608.420241387773
Romania,3394.0,3732.283643537399
Western Europe,3518.0,3794.1433018776993
Europe,3385.0,3807.081256623372
France,3435.0,4045.229829563494
Czechia,3081.0,4046.27907787353
Spain,3245.0,4089.486467245824
South America,3051.0,4092.112259167086
Americas,3307.0,4125.901708445044
Russian Federation,3299.0,4153.0228797610935
Ireland,3375.0,4153.243112944905
Brazil,3044.0,4233.175895382179
Denmark,3257.0,4275.452896003897
Latvia,2891.0,4382.323828458966
Thailand,2819.0,4648.149140332313
Eastern Europe,3282.0,4683.659867042533
United States of America,3723.0,4686.998381647187
Paraguay,2619.0,5041.19197822699
Northern America,3688.0,5092.109532679067
Poland,3305.0,5949.862487029457
Canada,3284.0,6277.183523936119
Australia,3241.0,6284.846126422625
Hungary,3177.0,6497.44218130201
Oceania,3216.0,6751.067063738896
Netherlands,3156.0,6999.516439696452
Australia and New Zealand,3229.0,7085.883586252055
New Zealand,2984.0,7812.651915006526
Argentina,3174.0,7869.863393396671
Lithuania,3211.0,8910.711908903118
Belize,2347.0,inf
Serbia,2736.0,inf
Slovakia,2574.0,inf
Iceland,3087.0,inf
Republic of Moldova,2309.0,inf
Djibouti,1924.0,inf
Bulgaria,2766.0,inf
Dominica,2531.0,inf
North Macedonia,2874.0,inf
Grenada,1941.0,inf
Uruguay,3026.0,inf
Estonia,3110.0,inf
Georgia,2763.0,inf
Sao Tome and Principe,495.0,inf
Ukraine,3011.0,inf
Madagascar,1892.0,inf
Honduras,2453.0,inf
Cameroon,2624.0,
Saint Vincent and the Grenadines,2501.0,
